Event Data
Swedish Open Skovde 2001
SWEDEN
Dates: 21 Nov - 25 Nov 2001

Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
2001	Swedish Open Skovde 2001	SAIVE Jean-Michel (BEL)		YAN Sen (CHN)		MS	Main Draw	R32	3 - 4	7:11 11:6 8:11 4:11 11:9 11:6 9:11	YAN Sen	
2001	Swedish Open Skovde 2001	SAIVE Philippe (BEL)		KORBEL Petr (CZE)		MS	Main Draw	R32	1 - 4	8:11 12:10 4:11 9:11 4:11	KORBEL Petr	
2001	Swedish Open Skovde 2001	OH Sangeun (KOR)		KEEN Trinko (NED)		MS	Main Draw	R32	4 - 1	11:8 11:4 11:8 9:11 11:6	OH Sangeun	
2001	Swedish Open Skovde 2001	CHEN Weixing (AUT)		MA Lin (CHN)		MS	Main Draw	R32	2 - 4	11:4 7:11 9:11 11:8 13:15 3:11	MA Lin	
2001	Swedish Open Skovde 2001	KIM Taeksoo (KOR)		HEISTER Danny (NED)		MS	Main Draw	R32	4 - 0	15:13 13:10 11:8 11:9	KIM Taeksoo	
2001	Swedish Open Skovde 2001	KRZESZEWSKI Tomasz (POL)		BLASZCZYK Lucjan (POL)		MS	Main Draw	R32	4 - 0	13:11 11:9 11:9 11:8	KRZESZEWSKI Tomasz	
2001	Swedish Open Skovde 2001	CHILA Patrick (FRA)		HAKANSSON Fredrik (SWE)		MS	Main Draw	R32	2 - 4	11:8 11:3 14:16 8:11 4:11 10:12	HAKANSSON Fredrik	
2001	Swedish Open Skovde 2001	LEUNG Chu Yan (HKG)		SCHLAGER Werner (AUT)		MS	Main Draw	R32	1 - 4	6:11 14:12 8:11 6:11 8:11	SCHLAGER Werner	
2001	Swedish Open Skovde 2001	WALDNER Jan-Ove (SWE)		RYU Seungmin (KOR)		MS	Main Draw	R32	2 - 4	8:11 11:4 9:11 10:12 11:8 12:14	RYU Seungmin	
2001	Swedish Open Skovde 2001	CHEUNG Yuk (HKG)		CHUANG Chih-Yuan (TPE)		MS	Main Draw	R32	4 - 3	8:11 7:11 11:9 11:8 11:8 9:11 11:6	CHEUNG Yuk	
